doc1,doc2,average
1,2,1.5
1,3,1.2
1,4,1.0
1,5,1.5
1,6,2.5
1,7,1.3
1,8,1.2
1,9,1.0
1,10,1.3
1,11,1.3
1,12,1.3
1,13,1.2
1,14,5.0
1,15,1.3
1,16,1.6
1,17,1.2
1,18,1.4
1,19,1.1
1,20,1.3
1,21,1.0
1,22,2.6
1,23,1.1
1,24,1.0
1,25,1.3
1,26,1.1111111111111112
1,27,1.1
1,28,1.4
1,29,1.7
1,30,1.5
1,31,1.3
1,32,2.4
1,33,4.8
1,34,1.1
1,35,1.6666666666666667
1,36,1.5
1,37,1.1
1,38,1.2727272727272727
1,39,1.8
1,40,1.1
1,41,1.2
1,42,1.2
1,43,1.3
1,44,1.1
1,45,1.8
1,46,2.2
1,47,1.2
1,48,1.8
1,49,1.6
1,50,2.5
2,3,1.4
2,4,1.0
2,5,1.2
2,6,1.2
2,7,1.2
2,8,1.5
2,9,1.3333333333333333
2,10,1.0
2,11,1.0
2,12,1.0
2,13,1.2
2,14,1.2
2,15,1.1818181818181819
2,16,1.0
2,17,1.1
2,18,1.5
2,19,1.3
2,20,1.5
2,21,1.1
2,22,2.3
2,23,1.2
2,24,1.2
2,25,1.0
2,26,1.0
2,27,1.4
2,28,1.0
2,29,1.2
2,30,1.1
2,31,1.1
2,32,1.5
2,33,2.0
2,34,1.0
2,35,1.0
2,36,1.0
2,37,1.3
2,38,1.1
2,39,1.4
2,40,1.2
2,41,1.1
2,42,1.6
2,43,1.1
2,44,1.2
2,45,1.1
2,46,1.2727272727272727
2,47,1.0
2,48,1.2
2,49,3.5
2,50,1.3
3,4,1.8
3,5,2.3
3,6,1.3
3,7,2.3
3,8,1.7
3,9,1.1
3,10,2.3
3,11,1.8
3,12,2.3
3,13,1.8
3,14,1.7
3,15,1.2
3,16,3.4
3,17,1.8
3,18,2.5
3,19,2.0
3,20,2.3
3,21,2.4
3,22,1.2
3,23,1.3
3,24,1.6
3,25,1.8
3,26,1.6
3,27,1.8
3,28,1.8
3,29,2.2
3,30,1.1
3,31,1.0
3,32,1.5
3,33,2.7
3,34,1.0
3,35,1.1
3,36,2.0
3,37,2.2222222222222223
3,38,5.0
3,39,1.4545454545454546
3,40,1.7
3,41,1.3
3,42,2.6
3,43,2.1
3,44,1.6
3,45,1.5
3,46,2.3
3,47,1.3
3,48,2.2
3,49,1.4
3,50,1.8
4,5,2.3333333333333335
4,6,1.1
4,7,4.0
4,8,3.9
4,9,1.0
4,10,3.1
4,11,3.3
4,12,3.6
4,13,1.6
4,14,1.3
4,15,1.0
4,16,3.7
4,17,1.6666666666666667
4,18,2.1
4,19,1.3
4,20,1.3
4,21,3.0
4,22,1.1
4,23,2.6
4,24,2.9
4,25,1.5
4,26,2.3
4,27,2.7
4,28,3.1
4,29,3.1
4,30,1.0
4,31,1.6
4,32,1.2
4,33,1.2
4,34,1.2
4,35,1.2
4,36,4.0
4,37,1.4
4,38,1.7
4,39,1.9
4,40,1.4
4,41,1.0
4,42,2.9
4,43,1.8888888888888888
4,44,1.9
4,45,1.6
4,46,2.8
4,47,1.3
4,48,2.3
4,49,1.0
4,50,1.8
5,6,1.1
5,7,1.8
5,8,2.1
5,9,1.2
5,10,3.9
5,11,3.4
5,12,2.8
5,13,1.2
5,14,1.3
5,15,1.1
5,16,3.5
5,17,1.7
5,18,1.4
5,19,1.2
5,20,2.0
5,21,2.2
5,22,1.1
5,23,2.4
5,24,2.4
5,25,1.6
5,26,1.6
5,27,2.5
5,28,1.9
5,29,1.7
5,30,1.1
5,31,1.2222222222222223
5,32,1.9
5,33,1.6
5,34,1.1
5,35,1.1
5,36,2.2
5,37,2.1
5,38,1.6
5,39,1.3
5,40,1.2
5,41,1.0
5,42,3.8
5,43,1.9
5,44,2.3
5,45,1.4
5,46,2.0
5,47,1.3
5,48,1.7
5,49,1.1
5,50,1.6
6,7,1.0
6,8,1.6
6,9,1.0
6,10,1.0
6,11,1.2
6,12,1.1
6,13,1.2222222222222223
6,14,1.6666666666666667
6,15,2.7
6,16,1.0
6,17,1.1
6,18,1.2
6,19,2.4
6,20,2.0
6,21,1.0
6,22,1.0
6,23,1.9
6,24,1.0
6,25,1.3
6,26,1.7
6,27,1.2
6,28,1.3
6,29,1.0
6,30,2.1
6,31,1.5
6,32,1.2
6,33,1.3
6,34,1.0
6,35,1.7
6,36,1.4
6,37,1.0
6,38,1.0
6,39,2.0
6,40,1.3
6,41,1.1
6,42,1.3
6,43,1.5
6,44,1.1
6,45,1.1
6,46,1.1
6,47,1.1818181818181819
6,48,1.5
6,49,1.4
6,50,1.3
7,8,3.7
7,9,1.0
7,10,2.7
7,11,3.4
7,12,3.1
7,13,1.5
7,14,1.5
7,15,1.1
7,16,3.4
7,17,1.6
7,18,1.1
7,19,1.0
7,20,1.6
7,21,3.1
7,22,1.1
7,23,2.9
7,24,2.4444444444444446
7,25,1.7
7,26,1.8
7,27,2.7
7,28,4.2
7,29,2.1
7,30,1.1
7,31,1.0
7,32,1.6
7,33,1.3
7,34,1.2
7,35,1.7
7,36,3.9
7,37,1.3636363636363635
7,38,1.7
7,39,1.2
7,40,1.4
7,41,1.0
7,42,2.5
7,43,1.6
7,44,1.3
7,45,1.9
7,46,1.9
7,47,1.0
7,48,2.0
7,49,1.1
7,50,1.3
8,9,1.2
8,10,2.9
8,11,3.1
8,12,3.2
8,13,1.3
8,14,1.3
8,15,1.2
8,16,3.5
8,17,1.2
8,18,1.3
8,19,1.0
8,20,1.4
8,21,4.7
8,22,1.3
8,23,2.5
8,24,2.3
8,25,1.6
8,26,2.2
8,27,2.5
8,28,3.8
8,29,2.2
8,30,1.2
8,31,1.9
8,32,1.2
8,33,1.0
8,34,1.0
8,35,1.7
8,36,3.6
8,37,1.3
8,38,1.4
8,39,1.7
8,40,1.1
8,41,1.4
8,42,3.0
8,43,1.3
8,44,1.2727272727272727
8,45,1.3
8,46,2.2
8,47,1.1
8,48,2.8
8,49,1.1
8,50,1.1
9,10,1.5
9,11,1.5
9,12,1.2
9,13,1.0
9,14,1.0
9,15,1.0
9,16,1.2
9,17,1.5
9,18,2.7
9,19,2.5
9,20,2.7
9,21,1.2
9,22,1.0
9,23,1.1
9,24,1.5
9,25,1.7
9,26,1.0
9,27,1.1
9,28,1.1
9,29,1.2
9,30,1.0
9,31,1.2
9,32,1.3
9,33,1.3
9,34,2.3
9,35,1.0
9,36,1.1
9,37,2.2
9,38,1.4
9,39,1.0
9,40,2.6
9,41,1.7
9,42,1.0
9,43,2.0
9,44,1.6
9,45,1.1
9,46,1.3
9,47,4.6
9,48,1.2
9,49,1.0
9,50,1.2727272727272727
10,11,3.4
10,12,3.3
10,13,1.2
10,14,1.1
10,15,1.0
10,16,4.2
10,17,1.6
10,18,1.8181818181818181
10,19,1.4
10,20,1.7
10,21,3.1
10,22,1.0
10,23,2.1818181818181817
10,24,3.0
10,25,1.2
10,26,1.6
10,27,2.6
10,28,2.8181818181818183
10,29,2.3
10,30,1.0
10,31,1.5
10,32,1.6
10,33,1.1
10,34,1.1
10,35,1.3
10,36,3.2
10,37,1.4
10,38,1.6
10,39,1.2
10,40,1.2
10,41,1.0
10,42,3.1
10,43,1.3
10,44,1.6
10,45,1.6
10,46,2.0
10,47,1.5
10,48,2.3
10,49,1.0
10,50,1.0
11,12,3.2
11,13,1.6
11,14,1.5
11,15,1.0
11,16,3.6
11,17,1.3
11,18,1.4
11,19,1.3
11,20,2.1
11,21,3.5
11,22,1.3
11,23,2.3333333333333335
11,24,3.1
11,25,1.5454545454545454
11,26,1.1
11,27,2.1
11,28,2.4
11,29,1.6
11,30,1.5
11,31,1.2
11,32,1.6
11,33,1.1
11,34,1.0
11,35,1.2
11,36,3.0
11,37,1.9
11,38,1.9
11,39,1.4
11,40,1.2
11,41,1.0
11,42,4.1
11,43,1.5
11,44,3.2
11,45,1.4
11,46,1.4
11,47,1.1
11,48,1.6
11,49,1.5
11,50,1.4
12,13,1.3
12,14,1.6
12,15,1.0
12,16,4.25
12,17,1.4
12,18,1.6
12,19,1.0
12,20,1.5
12,21,3.9
12,22,1.3
12,23,2.2222222222222223
12,24,3.5
12,25,1.4
12,26,1.9
12,27,3.5
12,28,3.1
12,29,1.9
12,30,1.1
12,31,1.5
12,32,1.5
12,33,1.6
12,34,1.0
12,35,1.4
12,36,3.6
12,37,1.8
12,38,1.2
12,39,1.1
12,40,1.3
12,41,1.0
12,42,3.6
12,43,1.7
12,44,1.7
12,45,2.2
12,46,1.5
12,47,1.0
12,48,2.2
12,49,1.3
12,50,1.7
13,14,1.6
13,15,1.6
13,16,1.5
13,17,1.5
13,18,1.1
13,19,1.2
13,20,1.2
13,21,1.8
13,22,1.6
13,23,1.4
13,24,1.7
13,25,1.4
13,26,1.1
13,27,1.5
13,28,1.4
13,29,1.3
13,30,1.8
13,31,2.5
13,32,1.5
13,33,1.3
13,34,1.2
13,35,2.4
13,36,1.3
13,37,1.3
13,38,1.2
13,39,1.5
13,40,1.1
13,41,1.5
13,42,1.8
13,43,1.4
13,44,1.1
13,45,1.6
13,46,1.1
13,47,1.1
13,48,1.5
13,49,1.5
13,50,1.4
14,15,2.2
14,16,1.7
14,17,1.2
14,18,1.4
14,19,1.0
14,20,1.2
14,21,1.5
14,22,2.4
14,23,1.2
14,24,1.4444444444444444
14,25,1.5
14,26,1.2
14,27,1.2727272727272727
14,28,1.1
14,29,1.5
14,30,1.0
14,31,1.3
14,32,2.5
14,33,4.9
14,34,1.1
14,35,1.2
14,36,1.3
14,37,1.6
14,38,1.6
14,39,1.6
14,40,1.2
14,41,1.0
14,42,1.1
14,43,1.1
14,44,1.1
14,45,1.9
14,46,2.0
14,47,1.0
14,48,1.2
14,49,1.6
14,50,2.3
15,16,1.1
15,17,1.0
15,18,1.1
15,19,1.2
15,20,1.2
15,21,1.1111111111111112
15,22,1.6
15,23,1.2
15,24,1.0
15,25,1.8888888888888888
15,26,2.2
15,27,1.0
15,28,1.5
15,29,1.3
15,30,2.2
15,31,1.1
15,32,1.4
15,33,2.3
15,34,1.0
15,35,1.3
15,36,1.0
15,37,1.1
15,38,1.4
15,39,2.7
15,40,1.3
15,41,1.3
15,42,1.7
15,43,1.2
15,44,1.8
15,45,1.2
15,46,1.2
15,47,1.1
15,48,1.0
15,49,1.7
15,50,1.3
16,17,1.9
16,18,1.5
16,19,1.4
16,20,1.9
16,21,3.7
16,22,1.2
16,23,2.6
16,24,3.1
16,25,1.4
16,26,1.7
16,27,2.6666666666666665
16,28,2.9
16,29,1.8
16,30,1.2
16,31,1.3
16,32,1.4444444444444444
16,33,1.2
16,34,1.0
16,35,1.3
16,36,3.2
16,37,1.9
16,38,2.0
16,39,1.3333333333333333
16,40,1.3
16,41,1.0
16,42,2.7
16,43,1.8
16,44,1.4
16,45,1.5555555555555556
16,46,1.8
16,47,1.1
16,48,2.7
16,49,1.0
16,50,1.4
17,18,1.0
17,19,1.2
17,20,1.2
17,21,1.3
17,22,1.3
17,23,1.3
17,24,3.6
17,25,1.5
17,26,1.2
17,27,2.0
17,28,1.5
17,29,1.5
17,30,1.2
17,31,1.1
17,32,1.3
17,33,1.2
17,34,1.0
17,35,1.3
17,36,1.4
17,37,1.3
17,38,1.3
17,39,1.5
17,40,1.1
17,41,1.1
17,42,1.6
17,43,1.1
17,44,2.8
17,45,1.4
17,46,1.4
17,47,1.5
17,48,1.5
17,49,1.4
17,50,1.1
18,19,3.4
18,20,3.3333333333333335
18,21,1.2
18,22,1.3
18,23,1.2222222222222223
18,24,1.1
18,25,2.0
18,26,1.6
18,27,1.1
18,28,1.4
18,29,1.4444444444444444
18,30,1.0
18,31,1.1
18,32,2.0
18,33,1.0
18,34,1.5
18,35,1.2
18,36,1.3
18,37,2.9
18,38,2.8
18,39,1.4
18,40,3.3
18,41,1.2727272727272727
18,42,1.7
18,43,3.1
18,44,1.7
18,45,1.2
18,46,1.2
18,47,1.6
18,48,1.7
18,49,1.3
18,50,1.3
19,20,3.2
19,21,1.4
19,22,1.2
19,23,1.7272727272727273
19,24,1.9
19,25,2.3
19,26,2.0
19,27,1.2727272727272727
19,28,1.1
19,29,1.2
19,30,2.2
19,31,1.1
19,32,1.7
19,33,1.0
19,34,1.4
19,35,1.0
19,36,1.2
19,37,2.6
19,38,1.9
19,39,1.2727272727272727
19,40,2.6
19,41,1.1
19,42,1.2
19,43,2.8
19,44,1.6
19,45,1.1
19,46,1.2
19,47,2.4
19,48,1.2
19,49,1.3
19,50,1.2
20,21,1.3
20,22,1.4
20,23,1.3
20,24,1.4
20,25,1.5
20,26,1.9
20,27,1.5
20,28,1.0
20,29,1.5
20,30,1.1
20,31,1.1
20,32,1.3
20,33,1.4
20,34,1.5
20,35,1.3
20,36,1.8
20,37,4.5
20,38,1.9
20,39,1.4
20,40,3.7
20,41,1.7777777777777777
20,42,1.9
20,43,3.5
20,44,1.6
20,45,1.4
20,46,1.3
20,47,2.0
20,48,1.4
20,49,1.4
20,50,1.4
21,22,1.0
21,23,2.3333333333333335
21,24,2.5
21,25,2.3636363636363638
21,26,1.8
21,27,3.0
21,28,3.5
21,29,2.6
21,30,1.1
21,31,1.8
21,32,1.9
21,33,1.4
21,34,1.1
21,35,1.2
21,36,3.2
21,37,1.7
21,38,1.6
21,39,1.5
21,40,1.2
21,41,1.1
21,42,3.1
21,43,1.3
21,44,1.2
21,45,2.0
21,46,1.8
21,47,1.0
21,48,2.3
21,49,1.1
21,50,1.2
22,23,1.5
22,24,1.2
22,25,1.0
22,26,1.0
22,27,1.2
22,28,1.1
22,29,1.5
22,30,1.0
22,31,1.0
22,32,2.0
22,33,2.4
22,34,1.0
22,35,1.0
22,36,1.0
22,37,1.5
22,38,1.9
22,39,1.2
22,40,1.4
22,41,1.1
22,42,1.5
22,43,1.4
22,44,2.5
22,45,1.4
22,46,1.4
22,47,1.2
22,48,1.3
22,49,2.7
22,50,2.7
23,24,2.3
23,25,1.4
23,26,1.0
23,27,2.2
23,28,2.5
23,29,1.4
23,30,1.4
23,31,1.3
23,32,1.0
23,33,1.2
23,34,1.3
23,35,1.2
23,36,2.9
23,37,1.4
23,38,1.3
23,39,1.4
23,40,1.5
23,41,1.0
23,42,2.2
23,43,1.3
23,44,1.4
23,45,1.4
23,46,1.6
23,47,1.2
23,48,1.4
23,49,1.0
23,50,1.4
24,25,1.3
24,26,1.4
24,27,4.1
24,28,2.3
24,29,2.0
24,30,1.0
24,31,1.2
24,32,1.3
24,33,1.2222222222222223
24,34,1.0
24,35,1.2
24,36,2.6363636363636362
24,37,1.8
24,38,1.6
24,39,1.1
24,40,1.4
24,41,1.0
24,42,2.4
24,43,1.7777777777777777
24,44,2.4
24,45,1.5
24,46,1.8
24,47,1.2
24,48,2.2
24,49,1.0
24,50,1.3
25,26,5.0
25,27,1.0
25,28,2.0
25,29,1.4
25,30,1.7
25,31,1.6
25,32,1.3
25,33,1.3636363636363635
25,34,1.0
25,35,1.2
25,36,1.3
25,37,2.0
25,38,2.0
25,39,1.6
25,40,1.2222222222222223
25,41,1.2
25,42,1.2
25,43,1.7
25,44,1.5
25,45,1.1
25,46,1.2
25,47,1.6
25,48,1.4
25,49,1.1
25,50,1.6
26,27,1.1
26,28,1.9
26,29,2.1
26,30,1.6
26,31,1.4
26,32,1.1
26,33,1.0
26,34,1.1
26,35,1.4
26,36,1.7
26,37,1.5
26,38,1.7
26,39,1.5
26,40,1.5
26,41,1.4
26,42,1.3
26,43,1.5
26,44,1.1
26,45,1.2
26,46,1.9
26,47,1.0
26,48,1.4
26,49,1.3
26,50,1.4
27,28,2.7
27,29,1.8
27,30,1.7
27,31,1.7
27,32,1.1
27,33,1.2
27,34,1.3
27,35,1.2
27,36,2.9
27,37,1.4
27,38,1.6
27,39,1.5
27,40,1.2
27,41,1.0
27,42,2.1
27,43,1.4
27,44,1.3
27,45,2.0
27,46,1.5
27,47,1.3
27,48,1.5
27,49,1.3
27,50,1.4
28,29,2.4
28,30,1.2
28,31,1.3
28,32,1.3
28,33,1.2
28,34,1.0
28,35,1.4
28,36,2.9
28,37,1.6
28,38,1.3
28,39,1.9
28,40,1.5
28,41,1.5
28,42,2.2
28,43,1.3
28,44,1.1
28,45,1.6
28,46,1.7
28,47,1.3
28,48,1.9
28,49,1.3
28,50,1.7
29,30,1.3
29,31,1.4
29,32,1.6
29,33,1.2
29,34,1.1
29,35,1.1
29,36,2.4
29,37,1.9
29,38,2.0
29,39,1.9
29,40,1.6
29,41,1.1
29,42,2.1
29,43,1.6
29,44,1.6
29,45,1.4
29,46,2.8
29,47,1.0
29,48,1.7
29,49,1.1
29,50,1.4
30,31,2.3333333333333335
30,32,1.2
30,33,1.2
30,34,1.0
30,35,2.2
30,36,1.2
30,37,1.1
30,38,1.3
30,39,2.1
30,40,1.1
30,41,1.0
30,42,1.4
30,43,1.1
30,44,1.0
30,45,2.0
30,46,1.2
30,47,1.4
30,48,1.2
30,49,1.0
30,50,1.4444444444444444
31,32,1.2
31,33,1.0
31,34,1.2
31,35,1.2
31,36,1.5
31,37,1.2
31,38,1.1
31,39,2.888888888888889
31,40,1.1
31,41,1.1
31,42,1.0
31,43,1.1
31,44,1.0
31,45,1.5
31,46,1.4
31,47,1.4
31,48,1.1
31,49,1.1
31,50,1.1
32,33,2.1
32,34,1.2
32,35,1.0
32,36,1.7
32,37,1.1
32,38,1.3333333333333333
32,39,1.6
32,40,1.5
32,41,1.1
32,42,1.8
32,43,1.4
32,44,2.3
32,45,4.222222222222222
32,46,1.2
32,47,1.1
32,48,1.5
32,49,1.8
32,50,4.6
33,34,1.2
33,35,1.2
33,36,1.2
33,37,1.4
33,38,2.0
33,39,1.3
33,40,1.5
33,41,1.0
33,42,1.2
33,43,1.4
33,44,1.1
33,45,1.5
33,46,1.3
33,47,1.1
33,48,2.1
33,49,1.4
33,50,3.4
34,35,1.0
34,36,1.1
34,37,2.9
34,38,1.1
34,39,1.1
34,40,2.9
34,41,3.5
34,42,1.4
34,43,1.8
34,44,1.3
34,45,1.1
34,46,1.0
34,47,1.8
34,48,1.0
34,49,1.0
34,50,1.1
35,36,1.0
35,37,1.0
35,38,1.1
35,39,1.1
35,40,1.4
35,41,1.2
35,42,1.1
35,43,1.0
35,44,1.2
35,45,1.7
35,46,1.2
35,47,1.1
35,48,1.0
35,49,1.0
35,50,1.1
36,37,1.6
36,38,1.9
36,39,1.4
36,40,1.5
36,41,1.0
36,42,2.4
36,43,1.6
36,44,1.4
36,45,1.3
36,46,2.1
36,47,1.4
36,48,2.6
36,49,1.2
36,50,1.5
37,38,1.8
37,39,1.4
37,40,3.7
37,41,2.2
37,42,1.7272727272727273
37,43,3.6
37,44,1.8
37,45,1.2
37,46,1.7272727272727273
37,47,3.0
37,48,1.9
37,49,1.1
37,50,1.6
38,39,1.1
38,40,1.7
38,41,1.0
38,42,1.8
38,43,1.4
38,44,1.5
38,45,1.1
38,46,1.5
38,47,1.2
38,48,1.6
38,49,1.1
38,50,2.0
39,40,1.3
39,41,1.0
39,42,1.1
39,43,1.4
39,44,1.1111111111111112
39,45,1.8
39,46,2.0
39,47,1.2
39,48,1.4
39,49,1.4
39,50,2.0
40,41,1.8
40,42,1.3
40,43,4.333333333333333
40,44,1.8
40,45,1.2
40,46,1.4444444444444444
40,47,3.0
40,48,1.1
40,49,1.3
40,50,1.3
41,42,1.3
41,43,1.7
41,44,1.2
41,45,1.0
41,46,1.1
41,47,1.8
41,48,1.0
41,49,1.0
41,50,1.3
42,43,1.5
42,44,2.9
42,45,1.3
42,46,1.7
42,47,1.2
42,48,1.6
42,49,1.3
42,50,1.2
43,44,1.4
43,45,1.2
43,46,1.2
43,47,1.8
43,48,2.0
43,49,1.2
43,50,1.4545454545454546
44,45,1.9
44,46,1.4
44,47,1.5
44,48,1.3
44,49,2.1
44,50,1.4444444444444444
45,46,1.2
45,47,1.2
45,48,1.5
45,49,1.7
45,50,3.6
46,47,1.0
46,48,2.0
46,49,1.4
46,50,1.9
47,48,1.2
47,49,1.1
47,50,1.2
48,49,1.1
48,50,1.5
49,50,1.8
